,Unnamed: 0,Unnamed: 0.1,title,개봉일,배우,링크,유저평점,기자평점,줄거리
0,0.0,0.0,삼총사,2014,이진욱|유인영|정용화|서현진|양동근|정해인|,https://movie.naver.com/movie/bi/mi/basic.nhn?code=125270,9.69,0.0,"조선 인조시대를 배경으로 강원도 무인이자 가난한 집안의 양반 출신으로 한양에 올라와 무과에 도전하는 '박달향'이 자칭 ""삼총사""인 '소현세자'와 그의 호위무사 '허승포', '안민서'를 만나, 조선과 명청 교체기의 혼란했던 중국을 오가며 펼치는 호쾌한 액션 로맨스 활극"
1,,,미녀 삼총사 3,2019,나오미 스콧|엘리자베스 뱅크스|크리스틴 스튜어트|엘라 발린스카|,https://movie.naver.com/movie/bi/mi/basic.nhn?code=186611,9.10,0.0,"[""베일에 싸인 세계적인 사설 첩보 기관 타운젠드 에이전시.그중에서도 최고의 실력을 자랑하는 '사비나'(크리스틴 스튜어트)와 '제인'(엘라 발린스카)은 전 세계 안보를 뒤흔들 사건을 해결하기 위해 한 팀으로 뭉친다.독일의 전력회사 '브록'이 미래 전력 산업에 혁명을 일으킬 제품 '컬리스토'를 발명하지만,'컬리스토'의 치명적인 결점을 알고 있는 유일한 인물 '엘레나'(나오미 스콧)가비밀리에 타운젠드 에이전시를 찾아 내부 고발에 나선 것.하지만 이를 지켜보던 의문의 인물에 의해 습격이 시작되고,사태의 심각성을 감지한 '사비나', '제인', '엘레나'는 본격적으로 한 팀이 되어 움직이기 시작한다.세상을 움직일 새로운 엔젤들이 돌아온다!""]"
2,,,바보 삼총사,2012,윌 사쏘|션 헤이즈|크리스 디아만토풀로스|,https://movie.naver.com/movie/bi/mi/basic.nhn?code=71598,6.50,0.0,['줄거리 오류']
3,,,조선미녀삼총사,2013,하지원|강예원|가인|고창석|주상욱|,https://movie.naver.com/movie/bi/mi/basic.nhn?code=93739,4.04,4.67,"['죄명 불문! 상대 불문!완벽한 검거율을 자랑하는 조선 팔도 최고의 현상금 사냥꾼이 나타났다!으뜸가는 미모와 버금가는 무공을 갖춘 실력파 리더 만능검객 진옥(하지원),  돈 되는 일이라면 무엇이든 접수하는 푼수떼기 주부검객 홍단(강예원),말보다 주먹이 앞서는 시크한 막내, 터프검객 가비(가인).사라진 십자경을 찾아달라는 왕의 밀명을 받게 된 삼총사.이제 그들의 손에 현상금이 아닌 조선의 운명이 걸렸다!“특명! 위기의 조선을 구하라!”']"
